passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,sentiment,count,rate_per_1000_words,lexicon_source
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,sadness,5,20.66115702479339,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,surprise,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,trust,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,anger,1,4.25531914893617,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,anticipation,8,34.04255319148936,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,disgust,1,4.25531914893617,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,fear,1,4.25531914893617,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,joy,11,46.80851063829787,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,negative,10,42.5531914893617,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,positive,13,55.31914893617021,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,sadness,6,25.53191489361702,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,surprise,0,0,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,trust,8,34.04255319148936,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,anger,0,0,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,anticipation,7,30.303030303030305,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,disgust,1,4.329004329004329,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,fear,0,0,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,joy,6,25.974025974025977,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,negative,5,21.645021645021643,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,positive,10,43.290043290043286,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,sadness,3,12.987012987012989,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,surprise,2,8.658008658008658,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,trust,7,30.303030303030305,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,anger,4,17.167381974248926,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,anticipation,7,30.042918454935624,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,disgust,4,17.167381974248926,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,fear,4,17.167381974248926,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,joy,5,21.459227467811157,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,negative,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,positive,12,51.502145922746784,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,sadness,1,4.291845493562231,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,surprise,3,12.875536480686696,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,trust,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,anger,2,8.658008658008658,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,anticipation,3,12.987012987012989,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,disgust,0,0,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,fear,4,17.316017316017316,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,joy,1,4.329004329004329,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,negative,4,17.316017316017316,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,positive,6,25.974025974025977,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,sadness,1,4.329004329004329,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,surprise,1,4.329004329004329,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,trust,2,8.658008658008658,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,anger,3,12.396694214876034,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,disgust,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,fear,7,28.925619834710744,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,joy,5,20.66115702479339,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,negative,10,41.32231404958678,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,positive,10,41.32231404958678,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,sadness,6,24.793388429752067,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,surprise,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,trust,7,28.925619834710744,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,anger,1,4.032258064516129,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,anticipation,6,24.193548387096772,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,disgust,0,0,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,fear,2,8.064516129032258,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,joy,5,20.161290322580644,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,negative,3,12.096774193548386,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,positive,16,64.51612903225806,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,sadness,2,8.064516129032258,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,surprise,2,8.064516129032258,NRC lexicon via tidytext/textdata
ch02_p001,"Ch. 2: The Teenage Period, passage 1",2,The Teenage Period,1,248,trust,15,60.483870967741936,NRC lexicon via tidytext/textdata
ch02_p002,"Ch. 2: The Teenage Period, passage 2",2,The Teenage Period,2,241,anger,1,4.149377593360996,NRC lexicon via tidytext/textdata
